priority_url,query,result_url,format,observed_strength,observed_gap,concrete_improvement,status
https://thelongevityintel.com/compare/nmn-vs-nr,NMN vs NR evidence,https://www.biorxiv.org/content/10.64898/2026.04.07.716917v1.full,Preprint systematic review and indirect comparison,Explicit transitivity assessment; population dose funding and imprecision limits,Preprint and indirect comparison cannot establish a clinical winner,Show direct trial population design outcome and limitation table,Implemented in pilot
https://thelongevityintel.com/compare/nmn-vs-nr,NMN vs NR evidence,https://pubmed.ncbi.nlm.nih.gov/40275690/,Systematic review and meta-analysis,Pooled muscle outcomes and reports inconclusive effects,Does not answer every safety or non-muscle outcome,State that biomarker changes do not establish lifespan or broad clinical benefit,Implemented in pilot
https://thelongevityintel.com/compare/nmn-vs-nr,NMN vs NR evidence,https://pubmed.ncbi.nlm.nih.gov/33888596/,Primary randomized trial,Clear population dose duration and muscle insulin-sensitivity outcome,Narrow population and surrogate outcome cannot support a universal recommendation,Expose population and endpoint beside the result,Implemented in pilot
https://thelongevityintel.com/diagnostics/hrv-guide,HRV interpretation limitations,https://pmc.ncbi.nlm.nih.gov/articles/PMC12883400/,Critical review,Centers natural variation and interpretation limits,Not a device-specific validation,Provide a repeatable personal-baseline workflow,Implemented in pilot
https://thelongevityintel.com/diagnostics/hrv-guide,HRV interpretation limitations,https://pubmed.ncbi.nlm.nih.gov/30706234/,Systematic review and meta-analysis,Quantifies portable-device error and heterogeneity,Older device set,Separate resting trend use from exercise and diagnostic claims,Implemented in pilot
https://thelongevityintel.com/diagnostics/hrv-guide,HRV interpretation limitations,https://www.jacc.org/doi/10.1016/j.jacc.2023.04.054,State-of-the-art clinical review,Provides a consumer-wearable data-quality checklist,Broad cardiovascular scope,Add metric conditions signal-quality and symptom escalation checklist,Implemented in pilot
https://thelongevityintel.com/supplements/best-nmn-supplements-2024,,, , , ,Select three results after GSC query and locale are supplied,Pending
https://thelongevityintel.com/supplements/rapamycin-longevity-guide,,, , , ,Select three results after GSC query and locale are supplied,Pending
https://thelongevityintel.com/wearables/whoop-4-review,WHOOP HRV accuracy,https://www.whoop.com/us/en/press-center/whoop-unveils-5.0-MG/,Official product announcement,Current hardware plan launch pricing and feature scope,Marketing source does not independently validate algorithms,Separate documented features from validation evidence,Implemented
https://thelongevityintel.com/wearables/whoop-4-review,WHOOP HRV accuracy,https://pubmed.ncbi.nlm.nih.gov/38557808/,Systematic review,Compares sleep estimates with reference methods and states limitations,Includes older devices and only eight eligible studies,Label findings by generation and endpoint,Implemented
https://thelongevityintel.com/wearables/whoop-4-review,WHOOP HRV accuracy,https://pubmed.ncbi.nlm.nih.gov/34065516/,Primary validation study,Reports protocol and reference comparison for an earlier WHOOP generation,Does not validate WHOOP 5 or every proprietary score,Prevent generation transfer and universal accuracy claims,Implemented
