URL or cluster,Decision,Rationale,Evidence,Preserved target,Rollback note,Human gate
/compare/nmn-vs-nr,Refresh,Existing winner language exceeded heterogeneous short human trials,Primary trials and current evidence synthesis,/compare/nmn-vs-nr,Revert page file if the source table is found inaccurate,Clinical review still recommended
/diagnostics/hrv-guide,Refresh,Existing universal thresholds and diagnostic language were unsupported,Wearable validation systematic reviews and clinical interpretation limits,/diagnostics/hrv-guide,Revert MDX file if source interpretation is challenged,Clinical review still recommended
64 dead product-ID database routes,Remove from sitemap and correct verified editorial links,Routes had no substantive generated pages and returned 404,2026-09-05 crawl plus local export registry,Existing article and canonical supplement URLs,Restore individual route only with substantive content and a documented equivalent,Review any historical backlinks before redirects
Legacy named contributors,Differentiate from verified attribution,Identity credentials permission and article records were not supplied,Claims audit and absent reviewer frontmatter,/authors/editorial-team,Restore a named profile only after verification records exist,Owner documentation required
Remaining commercial and YMYL pages,Keep pending review,Low traffic or warning signals alone do not justify deletion,No GSC backlink or conversion exports supplied,All current canonical article URLs,Use page-level decision record before merge or redirect,Yes
/compare/whoop-vs-oura,Refresh,The page compared retired generations and claimed an undocumented six-month simultaneous test,Current official product pages plus generation-labeled validation studies,/compare/whoop-vs-oura,Revert the page and supporting link labels if source interpretation is challenged,Clinical review still recommended
/wearables/best-fitness-trackers-longevity,Refresh,The roundup claimed an undocumented four-person six-month test precise device errors and independent purchases,Current official product pages plus generation-labeled validation studies,/wearables/best-fitness-trackers-longevity,Revert the MDX file if source interpretation is challenged,Clinical review still recommended
/wearables/whoop-4-review,Refresh,The legacy URL described retired hardware and an undocumented 12-month test with invented validation illness and performance results,Current WHOOP documentation plus generation-labeled sleep and wearable validation studies,/wearables/whoop-4-review,Revert the MDX and related labels if source interpretation is challenged,Clinical review still recommended
/supplements/best-nmn-supplements-2024,Refresh,The ranking used undocumented expert testing scores prices purity claims and dosing advice,Current FDA ingredient record plus human trials and meta-analyses,/supplements/best-nmn-supplements-2024,Revert the MDX if the evidence synthesis is found inaccurate,Clinical and regulatory review still recommended
/supplements/rapamycin-longevity-guide,Refresh,The page overstated approved uses human safety and longevity evidence while publishing an off-label protocol,Current DailyMed label NIA mouse program human systematic review and trial registries,/supplements/rapamycin-longevity-guide,Revert the MDX if the evidence synthesis is found inaccurate,Licensed clinical review required
