route,status,title,description,canonical,h1,wordCount,source
"/",200,"Longevity Intel — Science-Backed Longevity Reviews &amp; Protocols","Evidence-focused supplement comparisons, wearable and recovery guides, protocols, and a research database — organised so you can weigh sources, limitations, and trade-offs.","https://thelongevityintel.com",1,1273,"out\\index.html"
"/get-started",200,"Build Your Longevity Plan — Beginner Path | Longevity Intel","A guided 5-step longevity path: baseline testing, sleep, Zone 2 cardio, nutrition, and a tiered supplement stack. Personalised for your goal and budget.","https://thelongevityintel.com/get-started",1,173,"out\\get-started.html"
"/database",200,"Longevity Intel — Science-Backed Longevity Reviews","Evidence-focused guides on supplements, wearables, diagnostics, and longevity protocols, with sources and limitations made visible.","https://thelongevityintel.com/database",1,5099,"out\\database.html"
"/protocols",200,"Expert Longevity Protocols | Longevity Intel","The complete supplement stacks and lifestyle protocols from the world&#x27;s leading longevity experts — Andrew Huberman, Bryan Johnson, and David Sinclair.","https://thelongevityintel.com/protocols",1,299,"out\\protocols.html"
"/quiz",200,"Biological Age Quiz — Free Longevity Assessment | Longevity Intel","Answer 10 science-backed questions and get an estimated biological age plus a personalised protocol. Free, no sign-up.","https://thelongevityintel.com/quiz",1,135,"out\\quiz.html"
"/best",200,"Best Longevity Products &amp; Protocols — Expert-Ranked Picks | Longevity Intel","Longevity supplement, wearable, recovery-device, and protocol comparisons with sources, selection criteria, and limitations.","https://thelongevityintel.com/best",1,845,"out\\best.html"
"/compare",200,"Longevity Comparisons — NMN vs NR, WHOOP vs Oura &amp; More | Longevity Intel","Decision matrix for longevity: NMN vs NR, WHOOP vs Oura, sauna types, magnesium forms, creatine vs HMB, and cold plunge vs DIY — with clear verdicts.","https://thelongevityintel.com/compare",1,442,"out\\compare.html"
"/glossary",200,"Biomarker Glossary — Longevity Terms Explained | Longevity Intel","Plain-English explanations of the biomarkers, tests, and scientific terms used in longevity medicine — HRV, ApoB, NAD+, VO2 max, and more.","https://thelongevityintel.com/glossary",1,1040,"out\\glossary.html"
"/authors",200,"Editorial Team &amp; Attribution Policy | Longevity Intel","Learn how Longevity Intel attributes articles and records contributor credentials and medical review.","https://thelongevityintel.com/authors",1,209,"out\\authors.html"
"/about",200,"About Longevity Intel — Editorial Policy &amp; Methodology | Longevity Intel","How Longevity Intel researches, compares, and maintains guides on supplements, wearables, and longevity protocols.","https://thelongevityintel.com/about",1,444,"out\\about.html"
"/contact",200,"Contact | Longevity Intel","Contact Longevity Intel for partnerships, product review submissions, editorial enquiries, and press.","https://thelongevityintel.com/contact",1,196,"out\\contact.html"
"/privacy",200,"Privacy Policy | Longevity Intel","How Longevity Intel collects, uses, and protects your personal data.","https://thelongevityintel.com/privacy",1,700,"out\\privacy.html"
"/terms",200,"Terms of Service | Longevity Intel","Terms of service for using Longevity Intel.","https://thelongevityintel.com/terms",1,451,"out\\terms.html"
"/category/supplements",200,"Supplement Reviews | Longevity Intel","Evidence-based reviews of longevity supplements, tested and ranked by our research team.","https://thelongevityintel.com/category/supplements",1,1330,"out\\category\\supplements.html"
"/category/wearables",200,"Wearable Tech Reviews | Longevity Intel","In-depth reviews of health tracking wearables, CGMs, and diagnostic devices.","https://thelongevityintel.com/category/wearables",1,552,"out\\category\\wearables.html"
"/category/recovery",200,"Recovery &amp; Biohacking | Longevity Intel","Expert reviews of red light therapy panels, home saunas, cold plunges, and recovery devices.","https://thelongevityintel.com/category/recovery",1,933,"out\\category\\recovery.html"
"/category/diagnostics",200,"Diagnostic Tests | Longevity Intel","Reviews of at-home and lab diagnostic panels for longevity optimisation.","https://thelongevityintel.com/category/diagnostics",1,514,"out\\category\\diagnostics.html"
"/category/protocols",200,"Longevity Protocols | Longevity Intel","Science-backed protocols for sleep, exercise, nutrition, and stress management.","https://thelongevityintel.com/category/protocols",1,1226,"out\\category\\protocols.html"
"/category/best",200,"Best Picks | Longevity Intel","Our top recommendations, curated for maximum impact on health and longevity.","https://thelongevityintel.com/category/best",1,811,"out\\category\\best.html"
"/sleep",200,"Sleep Optimization for Longevity | Longevity Intel","Science-backed sleep protocols, tools, and stacks — the highest-leverage intervention in longevity medicine.","https://thelongevityintel.com/sleep",1,1130,"out\\sleep.html"
